ⲧⲁⲣⲭⲏ	ⲧ|ⲁⲣⲭⲏ
ⲙⲡⲓⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ	ⲙ|ⲡⲓ|ⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ
ⲛⲧⲉⲓⲏⲥⲟⲩⲥ	ⲛⲧⲉ|ⲓⲏⲥⲟⲩⲥ
ⲡⲭⲣⲓⲥⲧⲟⲥ	ⲡ|ⲭⲣⲓⲥⲧⲟⲥ
ⲡϣⲏⲣⲓ	ⲡ|ϣⲏⲣⲓ
ⲙⲫⲛⲟⲩϯ	ⲙ|ⲫ|ⲛⲟⲩϯ
.	.
ⲕⲁⲧⲁⲫⲣⲏϯ	ⲕⲁⲧⲁ|ⲫ|ⲣⲏϯ
ⲉⲧⲥϧⲏⲟⲩⲧ	ⲉⲧ|ⲥϧⲏⲟⲩⲧ
ϧⲉⲛⲏⲥⲁⲓⲁⲥ	ϧⲉⲛ|ⲏⲥⲁⲓⲁⲥ
ⲡⲓⲡⲣⲟⲫⲏⲧⲏⲥ	ⲡⲓ|ⲡⲣⲟⲫⲏⲧⲏⲥ
ϫⲉϩⲏⲡⲡⲉ	ϫⲉ|ϩⲏⲡⲡⲉ
ϯⲛⲁⲟⲩⲱⲣⲡ	ϯ|ⲛⲁ|ⲟⲩⲱⲣⲡ
ⲙⲡⲁⲅⲅⲉⲗⲟⲥ	ⲙ|ⲡ|ⲁⲅⲅⲉⲗⲟⲥ
ϧⲁⲧϩⲏ	ϧⲁⲧϩⲏ
ⲙⲡⲉⲕϩⲟ	ⲙ|ⲡⲉⲕ|ϩⲟ
ⲫⲏ	ⲫⲏ
ⲉⲑⲛⲁⲥⲟⲃϯ	ⲉⲑ|ⲛⲁ|ⲥⲟⲃϯ
ⲙⲡⲉⲕⲙⲱⲓⲧ	ⲙ|ⲡⲉⲕ|ⲙⲱⲓⲧ
ϧⲁϫⲱⲕ	ϧⲁϫⲱ|ⲕ
.	.
ⲡϧⲣⲱⲟⲩ	ⲡ|ϧⲣⲱⲟⲩ
ⲙⲡⲉⲧⲱϣ	ⲙ|ⲡ|ⲉⲧ|ⲱϣ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϩⲓⲡϣⲁϥⲉ	ϩⲓ|ⲡ|ϣⲁϥⲉ
ϫⲉⲥⲉⲃⲧⲉⲫⲙⲱⲓⲧ	ϫⲉ|ⲥⲉⲃⲧⲉ|ⲫ|ⲙⲱⲓⲧ
ⲙⲡϭⲟⲓⲥ	ⲙ|ⲡ|ϭⲟⲓⲥ
ⲥⲟⲩⲧⲉⲛⲛⲉϥⲙⲁ	ⲥⲟⲩⲧⲉⲛ|ⲛⲉϥ|ⲙⲁ
ⲛⲙⲟϣⲓ	ⲛ|ⲙⲟϣⲓ
.	.
ⲁϥϣⲱⲡⲓ	ⲁ|ϥ|ϣⲱⲡⲓ
ⲇⲉ	ⲇⲉ
ⲛϫⲉⲓⲱⲁⲛⲛⲏⲥ	ⲛϫⲉ|ⲓⲱⲁⲛⲛⲏⲥ
ⲡⲓⲣⲉϥϯⲱⲙⲥ	ⲡⲓ|ⲣⲉϥϯⲱⲙⲥ
ϩⲓⲡϣⲁϥⲉ	ϩⲓ|ⲡ|ϣⲁϥⲉ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲉϥϩⲓⲱⲓϣ	ⲉ|ϥ|ϩⲓⲱⲓϣ
ⲛⲟⲩⲱⲙⲥ	ⲛ|ⲟⲩ|ⲱⲙⲥ
ⲙⲙⲉⲧⲁⲛⲟⲓⲁ	ⲙ|ⲙⲉⲧⲁⲛⲟⲓⲁ
ϧⲉⲛⲟⲩⲭⲱ	ϧⲉⲛ|ⲟⲩ|ⲭⲱ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲛⲧⲉϩⲁⲛⲛⲟⲃⲓ	ⲛⲧⲉ|ϩⲁⲛ|ⲛⲟⲃⲓ
.	.
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲁⲩⲛⲏⲟⲩ	ⲛⲁ|ⲩ|ⲛⲏⲟⲩ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϩⲁⲣⲟϥ	ϩⲁⲣⲟ|ϥ
ⲛϫⲉⲛⲁϯⲓⲟⲩⲇⲉⲁ	ⲛϫⲉ|ⲛⲁ|ϯ|ⲓⲟⲩⲇⲉⲁ
ⲧⲏⲣⲥ	ⲧⲏⲣ|ⲥ
ⲛⲭⲱⲣⲁ	ⲛ|ⲭⲱⲣⲁ
ⲛⲉⲙⲛⲁⲓⲉⲣⲟⲥⲁⲗⲏⲙ	ⲛⲉⲙ|ⲛⲁ|ⲓⲉⲣⲟⲥⲁⲗⲏⲙ
ⲧⲏⲣⲟⲩ	ⲧⲏⲣ|ⲟⲩ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲁⲩϭⲓⲱⲙⲥ	ⲛⲁ|ⲩ|ϭⲓⲱⲙⲥ
ⲛⲧⲟⲧϥ	ⲛⲧⲟⲧ|ϥ
ϧⲉⲛⲡⲓⲓⲟⲣⲇⲁⲛⲏⲥ	ϧⲉⲛ|ⲡⲓ|ⲓⲟⲣⲇⲁⲛⲏⲥ
ⲛⲓⲁⲣⲟ	ⲛ|ⲓⲁⲣⲟ
ⲉⲩⲟⲩⲱⲛϩ	ⲉ|ⲩ|ⲟⲩⲱⲛϩ
