Year,Region,Average Temperature(°C),Yield(ton/hectare)
2010,North,22.0,4.170916869556414
2011,North,22.2,4.127563812254134
2012,North,22.4,4.113646614676481
2013,North,22.6,4.036069023417953
2014,North,22.8,3.9702148178835747
2015,North,23.0,3.9581433256795266
2016,North,23.2,3.842753248007842
2017,North,23.4,3.846889161483347
2018,North,23.6,3.714642481399471
2019,North,23.8,3.7133893798272284
2020,North,24.0,3.6473729560326555
2021,North,24.2,3.564664051294111
2022,North,24.4,3.5251559539742284
