Year,Region,Average Temperature(°C),Yield(ton/hectare)
2010,South,24.0,5.772211109586192
2011,South,24.25,5.768775076745289
2012,South,24.5,5.633577850775186
2013,South,24.75,5.567733432553301
2014,South,25.0,5.546675121908924
2015,South,25.25,5.338465977162644
2016,South,25.5,5.35486878347953
2017,South,25.75,5.349000767493246
2018,South,26.0,5.114887795954057
2019,South,26.25,5.003123064631635
2020,South,26.5,4.910301072246474
2021,South,26.75,4.830848429519767
2022,South,27.0,4.839301775701944
