code,parent_code,name,level,prefixed_id
01,,Production,0,d6aafc11-0183-44c7-82b7-fcaaf9274d13
010,01,Production from off-shore,1,141e8b82-2354-444d-b30b-5ba0733a8b41
013,01,Production from refineries,1,710ad575-5097-4f08-9290-e4e966c98ffd
014,01,Production from plants,1,bcf6241c-536e-48dc-aa95-753e855888bf
01BI,01,Production from biogases,1,5f73099c-7c43-4c64-a036-f299b5bbc9ae
01CL,01,Production from hard coal,1,eacb6494-08e3-42b6-962c-c355e0285f97
01CP,01,Production from solid coal products,1,aa1f1814-83a2-4e4a-a574-473211068731
01CR,01,Production from crude oil,1,fde7a565-b76c-47f1-97ca-57d4da2176e4
01DL,01,Production from gas oil/diesel oil,1,a039c696-fcb7-449b-bec9-49e05cbe61d5
01LB,01,Production from brown coal,1,5f12d3de-56bf-432a-9d03-21e60ac41e9c
01LBF,01,Production from liquid biofuels,1,7c83aba2-9dcc-472f-bb3d-59cc024537a9
01MG,01,Production from manufactured gases,1,c42a7eb7-65ac-456f-b2e7-9378a155329c
01NG,01,Production from natural gas,1,0054ab6d-f9b1-4b77-a0ea-226bd1f624ce
01NRW,01,Production from non-renewable waste,1,aa8f8db1-9c70-45e7-a700-2b07c28621aa
01OS,01,Production from oil shale,1,c7ce6faa-efe1-488f-b05f-17547e4107ba
01PP,01,Production from other oil products,1,fdf51fba-44c0-4a0c-bf28-9d0c4d174e6d
01PT,01,Production from peat,1,7b4f97c4-ae22-4ad9-a70e-52bbce54755f
01RF,01,Production from fuel oil,1,89f0d3be-efc8-439d-941d-79f3f7cdd93d
01RW,01,Production from renewable municipal waste,1,3dab127e-f7eb-4b5a-9756-a867d35f6895
01SBF,01,Production from solid biofuels,1,2b0e8910-477b-4c8e-a6b9-796bd2f3fd78
01BS,01SBF,Production from bagasse,2,7fb4e1cf-4536-4502-adc8-d79e3da5ba09
EP,01,"Production, Main activity producers total",1,08bdd610-a69b-4b14-a3ac-a8eb6e7fa1c7
015C,EP,Production from combustible fuels – Main activity,2,d0de3a99-fa5c-409f-a6f6-23dead93bdb1
015CC,015C,Production from combustible fuels – Main activity – CHP plants,3,fe0e0e76-c8cc-44ed-9433-bc492b6731ea
015CE,015C,Production from combustible fuels – Main activity – Electricity plants,3,68df1a54-f09f-436f-833a-4398a9e46f0f
015CH,015C,Production from combustible fuels – Main activity – Heat plants,3,7dd385e8-dbda-4541-b900-03fb2a0427b0
015EB,EP,Production from electric boilers - Main activity,2,3c608635-895c-43e5-be06-ba4eed8900dc
015G,EP,Production from Geothermal – Main activity,2,f803173c-f5c8-4ff3-850e-42a13bee9ae8
015GC,015G,Production from Geothermal – Main activity - CHP plants,3,f698e7e6-8cb7-4705-91a8-2eb8e0f2a0e7
015GE,015G,Production from Geothermal – Main activity - Electricity plants,3,643cc75a-9c0f-4d5d-912e-3e54d93fd83e
015GH,015G,Production from Geothermal – Main activity – Heat plants,3,61a0a36e-63a2-45fe-b9fd-c813bdb27e63
015H,EP,Production from chemical heat/sources – Main activity,2,49f18984-d446-45ba-b7e0-23f7bb7acaf3
